Customer Name,Title,Comments
customer,Review,"I had a massage from Chantal, From Canberra. She was absolutely amazing and professional. Easily and hands-down best massage I have had, highly recommended"
Sam,Great service,"This is my first time using Blys. It was a great experience, especially during these unprecedented times. Ingrid was my massage therapist. She was super lovely and had an amazing spa like experience. Her massage was good too!"
Scott Cox,I had a massage from Chantal,"Amazing service. Our massage therapist was lovely, on time, clean and professional. My husband said it was the best massage he has ever had."
Amy,This is my first time using Blys,"Stephen was excellent. He was on time, set up quickly and one of the best massages I’ve ever had. Will be booking again!"
Emma,Amazing service,"Tulia is an excellent masseur, insightful both in her ability to assess what areas to focus on and how to relieve them, and in her understanding of people in general. Thanks Tulia!"
"Kim, customer",Great massage!,"I just my first massage and had Ime and he was absolutely amazing, arrived early and completely professional!! Will certainly recommend."
T.,Tulia is an excellent masseur,"Friendly, professional service. Would highly recommend."
Kasaan Rogan,I just my first massage and had Ime!!,My therapist was prompt and very polite. The scene was set with music warm towels and a very comfy massage table. She took my requests into consideration and i was very relax theoughout the massage.
Lisa Selems,Friendly,"The easiest booking process I’ve encountered, and both therapists that arrived were amazing. Could not recommend Blys more!!"
Linda,My therapist was prompt and very…,Ime gives an exceptional service. Highly professional. The king of massage!
SJ,Fantastic experience!,Very quick response. Easy to use platform and very professional service.
Tania Souter,Ime gives an exceptional service,"Really happy with the service, safety and professionalism. I have recommended blys to my friends and will definitely book again. Highly recommended AAAAAAA+++"
Melanie,Happy to have joined the Blys experience.,Excellent service! Easy to book and manage bookings using the app. Very professional therapists and fantastic customer service.
JP - Glen Waverley,Really happy with the service,"I love Blys. They've made it so easy to book a massage and I love having the option to include the earliest and latest times instead of only being able to choose one specific time. It made it so easy for me with a baby, being able to get a massage in my own home and not have to worry about taking extra travel time. Perfect!"
Alicia,So efficient!,"Incredible practitioner called Ime. My remedial massage was the best I’ve ever had, I feel completely healed after the session!"
Rhi,Incredible practitioner Ime,"So wonderful to have somebody come and setup in our house. Very comfortable with the two therapists,good communication and thoughtful 👏"
Maisy Sloan,So wonderful to have somebody come and…,Ingeid was very goog..thanks very much fabulous...
Phil McCormack,Ingeid was very goog..thanks very much…,"What a great staff you have working for you, Friendly and very accommodating to your every requirements"
Russell,What a great staff,"Wow this is a great service. Quick to book, therapist lovely and wonderful massage."
customer,Awesome service,This was my first massage with Blys. I felt a lot less tense and freer. I will definitely rebook with Mouli again soon.
Amy,Wow this is a great service,A great way of arranging a quality qualified massage during COVID Thanks!
customer knbbr,This was my first massage with Blys,One of the best massages I’ve ever had !! The therapist was excellent relieved my pains Thankyou
Ben,great quality massage service,Blys was easy to book and I was connected with a an amazing and professional masseuse
Viv joyner,One of the best massages I’ve ever had…,"Amazing, same day massage booking on a Sunday!! Loved the massage and the simplicity of the booking process!"
customer,Great experience,"Quick, easy, same day booking and a very pleasant and professional massage experience. Would highly recommend."
customer,Blys was so easy to book and I was…,Perfect service. Just what I wanted. She was very good.
customer Kelly,Amazing,"Fantastic Experience , amazing quality , easy to book , great communication , honestly i will be back to use and so will my friend. great in home massage experience . Highly recommend"
Brendan,very convenient and competitively priced,Gud one bbbbbbnnnnn.   Bbbbbb
Maria Vesic,Great massage and so convenient,"It’s very fast and convenient to book in using the Blys app, well done."
Halima,Love using Blys,Love using Blys. They are professional and great at what they do. Highly recommended!
Gail Oliver,Thank you so much for this amazing…,"Thank you so much for this amazing experience, Sally was absolutely wonderful and I highly recommend her to all."
Amanda Jenkins,Blys is brilliant,"Blys is brilliant, I have used the service a number of times now. Due to personal circumstances I am unable to get a massage locally so Blys is perfect for me, the hours of availability work for me and the professionalism of their team are second to none."
customer,So relaxing!,Amazing massage. Professional therapist will be getting another massage again.
Katherine,Amazing massage,As this was my first massage the whole process was so easy and Tania turned up on time and the massage was great.
customer,First massage,Professional' prompt friendly very knowledgeable
Gazzell Sellls,Professional' prompt friendly,"Fabulous experience! Easy to book, fast confirmation, professional service and great massage."
customer,Fabulous experience,"Really great service, so convenient and relaxing at home"
Mina,Really great service,"Blys is a great concept. I have used the service 3 times now and found it very easy to book a massage 1 day later for in home. Myself and family have experienced 4 different therapists who I have rated 4 stars and above. They were professional, polite and good at what they do. I totally recommend Blys if you don’t/can’t leave your home and want a professional massage immediately."
customer,Blys is a great concept,Fabulous therapist- thoroughly recommend her!!
customer,Fabulous therapist- thoroughly…,"Great service. Therapist was on time, professional and the massage was spot on"
customer,FELT BRAND NEW THE NEXT DAY!,Fantastic. I was so needing to ease my tight muscles on Saturday. Found this app and it was so easy and the therapist was high quality. 2nd to none
Rani,Great service,very nice App to grab a peacefull massage
customer,Great service,Ii have had many Blys massages and they have all been excellent. Blys is the best
Miriam,Fantastic,Amazing massage in the comfort of your home
customer,Nice,Excellent service. Loved both of my two therapist and it is a massage that I recommed with my eyes closed.
Angela,Ii have had many Blys massages and they…,"Therapist was friendly, punctual, listened to what I wanted for my treatment and delivered  I very well. It was really nice to have a treatment at my own home."
customer,So convenient and great massage.,My first booking and I highly recommend Blys. It was easy and convenient and the massage was quality. Will definitely use the app again.
ZOE,Wonderful service and great masseuses!,simply outstanding and easy to Use Blys is the comfort of having a massage  by a professional therapist in your own home is perfect blys
Vanessa,Excellent! Highly recommend!,Awesome therapist. Highly recommended
Adrian,simply outstanding and easy to Use Blys…,"Have used Blys twice now for couples massage. Both times had great experiences, with therapists arriving on time and providing a wonderful massage. Thankyou!"
customer,Awesome therapist,A trusty service that seems to fill a gap in the market very well!
Customer,Have used Blys twice now for couples…,"Really good experience. The navigation and scheduling are easy. Plus, the customer service is really careful"
customer,A trusty service that seems to fill a…,Amazing massage by Gemma. Highly recommend.
Rafael,Really good experience,Great - easy to book and great massage
Rach,Amazing massage by Gemma,Blys is a great service. Easy booking and payment via the app. Skilled massage therapists who get your body moving right. I’m definitely adding a Blys massage to my fitness and recovery program.
Sarah Mills-brookes,Great,I’ve always received a very professional massage from Blys.
Brad,Blys is a great service. Get the app. Feel good.,"A great service, especially on a Sunday morning! Masseur was fantastic. Will use again!"
Nikki,very professional,"Absolutely loved it, easy to track and Super convenient. Will definitely be using this again!"
customer,Excellent,"Blys is an easy, completely stress free way to organise a massage in the comfort of your own home. I’m so glad I found this service!"
customer,Seamless experience and great massage,Easiest and most convenient way for a Remedial Massage in the comfort of my own home. Victoria was an Amazing Massage Therapist who targeted my trouble areas perfectly. Highly recommend and can’t wait to book again.
Brittany,Absolutely loved it,"Great massage, Tanya attended to all my areas of need, which is great. Thank you."
Caitlyn,Blysful!,Absolutely fantastic massage I got for my sister. She was so happy with her therapist and found it so relaxing. One of the best she’s had. Thank you
Clare L,What a wonderful way to get a massage,"What a wonderful way to get a massage.  Loading the app was easy, booking a therapist in the time slot on the same day was easy, and the therapist was outstanding.  And the price was exceptional for the quality of work provided.  I had a really great experience with Blys!"
Danielle,They were amazing,"They were amazing! prompt, professional and very good at their job! loved it"
Miss Kate Hastie,Great experience,Great experience. Looking forward to my next booking
Heather B,"Definitely worth booking, amazing service","Great service, prompt and great communication, friendly and knowledgeable therapists. Will definitely book again. Great price for the convenience off not having to leave the house."
JimS,Excellent service.,Great massage got all the knots out of my back. Highly recommended.
Jordan,Great massage got all the knots out of…,Excellent app and service- no complaints
